qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_pingpong,success_probability_qkd
39,5,12,None,NAIVE,False,1,0.75,942300000.0,0.8333333333333334,0.6666666666666666
40,5,12,None,NAIVE,False,1,0.5,942300000.0,0.6666666666666666,0.3333333333333333
41,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,1.0,0.16666666666666666
42,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.8333333333333334,0.5
43,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.3333333333333333,0.5
44,5,12,None,NAIVE,False,1,0.8333333333333334,942300000.0,0.8333333333333334,0.8333333333333334
45,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
46,5,12,None,NAIVE,False,1,0.75,942300000.0,0.8333333333333334,0.6666666666666666
47,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
48,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
49,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.8333333333333334,0.5
50,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.16666666666666666,0.6666666666666666
51,5,12,None,NAIVE,False,1,0.5,942300000.0,0.5,0.5
52,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
53,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.3333333333333333,0.8333333333333334
54,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
55,5,12,None,NAIVE,False,1,0.8333333333333334,942300000.0,1.0,0.6666666666666666
56,5,12,None,NAIVE,False,1,0.75,942300000.0,0.8333333333333334,0.6666666666666666
57,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.6666666666666666,0.16666666666666666
58,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.5,0.3333333333333333
59,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
60,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.16666666666666666,0.6666666666666666
61,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.5,0.3333333333333333
62,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
63,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
64,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
65,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.8333333333333334,0.3333333333333333
66,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.8333333333333334,0.5
67,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
68,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
69,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.5,0.8333333333333334
70,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.5,0.3333333333333333
71,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.6666666666666666,0.16666666666666666
72,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
73,5,12,None,NAIVE,False,1,0.8333333333333334,942300000.0,0.8333333333333334,0.8333333333333334
74,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.8333333333333334,0.3333333333333333
75,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
76,5,12,None,NAIVE,False,1,0.5,942300000.0,0.6666666666666666,0.3333333333333333
77,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.5,0.6666666666666666
78,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
79,5,12,None,NAIVE,False,1,0.75,942300000.0,0.6666666666666666,0.8333333333333334
80,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.5,0.6666666666666666
81,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.3333333333333333,1.0
82,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
83,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.5,0.6666666666666666
84,5,12,None,NAIVE,False,1,0.8333333333333334,942300000.0,0.8333333333333334,0.8333333333333334
85,5,12,None,NAIVE,False,1,0.3333333333333333,942300000.0,0.3333333333333333,0.3333333333333333
86,5,12,None,NAIVE,False,1,0.8333333333333334,942300000.0,0.6666666666666666,1.0
87,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.3333333333333333,0.5
88,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,1.0,0.3333333333333333
89,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,1.0,0.3333333333333333
90,5,12,None,NAIVE,False,1,0.5,942300000.0,0.5,0.5
91,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.5,0.8333333333333334
92,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
93,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.8333333333333334,0.5
94,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
95,5,12,None,NAIVE,False,1,0.75,942300000.0,0.5,1.0
96,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.6666666666666666,0.16666666666666666
97,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.3333333333333333,0.5
98,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.8333333333333334,0.5
99,5,12,None,NAIVE,False,1,0.9166666666666666,942300000.0,0.8333333333333334,1.0
100,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
101,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.5,0.6666666666666666
102,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.5,0.3333333333333333
103,5,12,None,NAIVE,False,1,0.8333333333333334,942300000.0,0.8333333333333334,0.8333333333333334
104,5,12,None,NAIVE,False,1,0.5,942300000.0,0.5,0.5
105,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.5,0.8333333333333334
106,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
107,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
108,5,12,None,NAIVE,False,1,0.3333333333333333,942300000.0,0.3333333333333333,0.3333333333333333
109,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.5,0.8333333333333334
110,5,12,None,NAIVE,False,1,0.4166666666666667,942300000.0,0.5,0.3333333333333333
111,5,12,None,NAIVE,False,1,0.5,942300000.0,0.6666666666666666,0.3333333333333333
112,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.6666666666666666,0.5
113,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
114,5,12,None,NAIVE,False,1,0.5,942300000.0,0.6666666666666666,0.3333333333333333
115,5,12,None,NAIVE,False,1,0.5,942300000.0,0.6666666666666666,0.3333333333333333
116,5,12,None,NAIVE,False,1,0.3333333333333333,942300000.0,0.3333333333333333,0.3333333333333333
117,5,12,None,NAIVE,False,1,0.5,942300000.0,0.3333333333333333,0.6666666666666666
118,5,12,None,NAIVE,False,1,0.75,942300000.0,0.8333333333333334,0.6666666666666666
119,5,12,None,NAIVE,False,1,0.5833333333333334,942300000.0,0.3333333333333333,0.8333333333333334
120,5,12,None,NAIVE,False,1,0.75,942300000.0,1.0,0.5
121,5,12,None,NAIVE,False,1,0.6666666666666666,942300000.0,0.6666666666666666,0.6666666666666666
