qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_qkd
44,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
45,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,1.0,0.3333333333333333
46,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,1.0,0.3333333333333333
47,4,6,1020,OPT,False,3,0.3333333333333333,1391300000.0,0.3333333333333333,0.3333333333333333
48,4,6,1020,OPT,False,3,0.3333333333333333,1391300000.0,0.6666666666666666,0.0
49,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
50,4,6,1020,OPT,False,3,0.8333333333333334,1391300000.0,1.0,0.6666666666666666
51,4,6,1020,OPT,False,3,0.8333333333333334,1391300000.0,0.6666666666666666,1.0
52,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
53,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
54,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
55,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
56,4,6,1020,OPT,False,3,0.1666666666666666,1391300000.0,0.3333333333333333,0.0
57,4,6,1020,OPT,False,3,0.1666666666666666,1391300000.0,0.0,0.3333333333333333
58,4,6,1020,OPT,False,3,1.0,1391300000.0,1.0,1.0
59,4,6,1020,OPT,False,3,0.1666666666666666,1391300000.0,0.3333333333333333,0.0
60,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,0.6666666666666666,0.6666666666666666
61,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
62,4,6,1020,OPT,False,3,0.6666666666666666,1391300000.0,1.0,0.3333333333333333
63,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
64,4,6,1020,OPT,False,3,0.8333333333333334,1391300000.0,0.6666666666666666,1.0
65,4,6,1020,OPT,False,3,0.5,1391300000.0,1.0,0.0
66,4,6,1020,OPT,False,3,0.3333333333333333,1391300000.0,0.0,0.6666666666666666
67,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
68,4,6,1020,OPT,False,3,0.5,1391300000.0,0.6666666666666666,0.3333333333333333
