qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_qkd,success_probability_pingpong
30,5,12,10107,HEU,False,5,0.5833333333333334,4702570000.0,0.5,0.6666666666666666
31,5,12,10107,HEU,False,5,0.6666666666666666,4702570000.0,0.5,0.8333333333333334
32,5,12,10107,HEU,False,5,0.5833333333333334,4702570000.0,0.5,0.6666666666666666
33,5,12,10107,HEU,False,5,0.5,4702610000.0,0.5,0.5
34,5,12,10107,HEU,False,5,0.5833333333333334,4702590000.0,0.3333333333333333,0.8333333333333334
35,5,12,10107,HEU,False,5,0.75,4702590000.0,0.8333333333333334,0.6666666666666666
36,5,12,10107,HEU,False,5,0.25,4702590000.0,0.0,0.5
37,5,12,10107,HEU,False,5,0.5833333333333334,4702610000.0,0.3333333333333333,0.8333333333333334
38,5,12,10107,HEU,False,5,0.4166666666666667,4702590000.0,0.6666666666666666,0.1666666666666666
39,5,12,10107,HEU,False,5,0.75,4702570000.0,0.8333333333333334,0.6666666666666666
40,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.6666666666666666,0.6666666666666666
41,5,12,10107,HEU,False,5,0.5833333333333334,4702610000.0,0.8333333333333334,0.3333333333333333
42,5,12,10107,HEU,False,5,0.4166666666666667,4702590000.0,0.1666666666666666,0.6666666666666666
43,5,12,10107,HEU,False,5,0.5,4702570000.0,0.3333333333333333,0.6666666666666666
44,5,12,10107,HEU,False,5,0.75,4702570000.0,0.8333333333333334,0.6666666666666666
45,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.6666666666666666,0.6666666666666666
46,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.6666666666666666,0.6666666666666666
47,5,12,10107,HEU,False,5,0.5833333333333334,4702590000.0,0.5,0.6666666666666666
48,5,12,10107,HEU,False,5,0.75,4702570000.0,0.6666666666666666,0.8333333333333334
49,5,12,10107,HEU,False,5,0.6666666666666666,4702570000.0,0.6666666666666666,0.6666666666666666
50,5,12,10107,HEU,False,5,0.5833333333333334,4702590000.0,0.6666666666666666,0.5
51,5,12,10107,HEU,False,5,0.4166666666666667,4702610000.0,0.3333333333333333,0.5
52,5,12,10107,HEU,False,5,0.6666666666666666,4702610000.0,0.5,0.8333333333333334
53,5,12,10107,HEU,False,5,0.5833333333333334,4702590000.0,0.5,0.6666666666666666
54,5,12,10107,HEU,False,5,0.75,4702570000.0,1.0,0.5
55,5,12,10107,HEU,False,5,0.8333333333333334,4702570000.0,0.8333333333333334,0.8333333333333334
56,5,12,10107,HEU,False,5,0.3333333333333333,4702570000.0,0.3333333333333333,0.3333333333333333
57,5,12,10107,HEU,False,5,0.6666666666666666,4702570000.0,0.5,0.8333333333333334
58,5,12,10107,HEU,False,5,0.75,4702590000.0,0.5,1.0
59,5,12,10107,HEU,False,5,0.4166666666666667,4702590000.0,0.5,0.3333333333333333
60,5,12,10107,HEU,False,5,0.3333333333333333,4702570000.0,0.1666666666666666,0.5
61,5,12,10107,HEU,False,5,0.8333333333333334,4702590000.0,0.8333333333333334,0.8333333333333334
62,5,12,10107,HEU,False,5,0.75,4702590000.0,0.8333333333333334,0.6666666666666666
63,5,12,10107,HEU,False,5,0.5833333333333334,4702590000.0,0.6666666666666666,0.5
64,5,12,10107,HEU,False,5,0.6666666666666666,4702570000.0,0.5,0.8333333333333334
65,5,12,10107,HEU,False,5,0.5833333333333334,4702590000.0,0.6666666666666666,0.5
66,5,12,10107,HEU,False,5,0.5,4702570000.0,0.3333333333333333,0.6666666666666666
67,5,12,10107,HEU,False,5,0.6666666666666666,4702590000.0,0.6666666666666666,0.6666666666666666
