qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc,success_probability_pingpong
22,3,12,1073,HEU,False,5,0.75,3402590000.0,0.6666666666666666,0.8333333333333334
23,3,12,1073,HEU,False,5,0.75,3402590000.0,0.8333333333333334,0.6666666666666666
24,3,12,1073,HEU,False,5,0.5833333333333334,3402570000.0,0.6666666666666666,0.5
25,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.5,0.8333333333333334
26,3,12,1073,HEU,False,5,0.5833333333333334,3402610000.0,0.3333333333333333,0.8333333333333334
27,3,12,1073,HEU,False,5,0.75,3402570000.0,0.8333333333333334,0.6666666666666666
28,3,12,1073,HEU,False,5,0.5,3402610000.0,0.6666666666666666,0.3333333333333333
29,3,12,1073,HEU,False,5,0.5833333333333334,3402610000.0,0.5,0.6666666666666666
30,3,12,1073,HEU,False,5,1.0,3402590000.0,1.0,1.0
31,3,12,1073,HEU,False,5,0.4166666666666667,3402590000.0,0.5,0.3333333333333333
32,3,12,1073,HEU,False,5,0.8333333333333334,3402590000.0,0.8333333333333334,0.8333333333333334
33,3,12,1073,HEU,False,5,0.9166666666666666,3402610000.0,0.8333333333333334,1.0
34,3,12,1073,HEU,False,5,0.5833333333333334,3402570000.0,0.3333333333333333,0.8333333333333334
35,3,12,1073,HEU,False,5,0.8333333333333334,3402570000.0,0.6666666666666666,1.0
36,3,12,1073,HEU,False,5,0.6666666666666666,3402610000.0,0.5,0.8333333333333334
37,3,12,1073,HEU,False,5,0.5,3402590000.0,0.3333333333333333,0.6666666666666666
38,3,12,1073,HEU,False,5,0.6666666666666666,3402610000.0,0.6666666666666666,0.6666666666666666
39,3,12,1073,HEU,False,5,0.5833333333333334,3402570000.0,0.6666666666666666,0.5
40,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,1.0,0.3333333333333333
41,3,12,1073,HEU,False,5,0.75,3402590000.0,0.6666666666666666,0.8333333333333334
42,3,12,1073,HEU,False,5,0.5,3402590000.0,0.6666666666666666,0.3333333333333333
43,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.5,0.8333333333333334
44,3,12,1073,HEU,False,5,0.5833333333333334,3402570000.0,0.5,0.6666666666666666
45,3,12,1073,HEU,False,5,0.3333333333333333,3402590000.0,0.3333333333333333,0.3333333333333333
46,3,12,1073,HEU,False,5,0.6666666666666666,3402610000.0,0.6666666666666666,0.6666666666666666
47,3,12,1073,HEU,False,5,0.5,3402590000.0,0.5,0.5
48,3,12,1073,HEU,False,5,0.8333333333333334,3402610000.0,0.8333333333333334,0.8333333333333334
49,3,12,1073,HEU,False,5,0.5,3402590000.0,0.3333333333333333,0.6666666666666666
50,3,12,1073,HEU,False,5,0.4166666666666667,3402590000.0,0.3333333333333333,0.5
51,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.6666666666666666,0.6666666666666666
52,3,12,1073,HEU,False,5,0.9166666666666666,3402590000.0,0.8333333333333334,1.0
53,3,12,1073,HEU,False,5,0.6666666666666666,3402610000.0,0.5,0.8333333333333334
54,3,12,1073,HEU,False,5,0.8333333333333334,3402590000.0,0.8333333333333334,0.8333333333333334
55,3,12,1073,HEU,False,5,0.8333333333333334,3402610000.0,1.0,0.6666666666666666
56,3,12,1073,HEU,False,5,0.5833333333333334,3402590000.0,0.6666666666666666,0.5
57,3,12,1073,HEU,False,5,0.6666666666666666,3402570000.0,0.6666666666666666,0.6666666666666666
58,3,12,1073,HEU,False,5,0.5833333333333334,3402610000.0,0.8333333333333334,0.3333333333333333
59,3,12,1073,HEU,False,5,0.75,3402610000.0,0.6666666666666666,0.8333333333333334
60,3,12,1073,HEU,False,5,0.5,3402570000.0,0.3333333333333333,0.6666666666666666
61,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.8333333333333334,0.5
62,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.6666666666666666,0.6666666666666666
63,3,12,1073,HEU,False,5,0.5,3402570000.0,0.5,0.5
64,3,12,1073,HEU,False,5,0.5,3402570000.0,0.5,0.5
65,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.5,0.8333333333333334
66,3,12,1073,HEU,False,5,0.5,3402590000.0,0.5,0.5
67,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.8333333333333334,0.5
68,3,12,1073,HEU,False,5,0.8333333333333334,3402590000.0,0.8333333333333334,0.8333333333333334
69,3,12,1073,HEU,False,5,0.6666666666666666,3402570000.0,0.8333333333333334,0.5
70,3,12,1073,HEU,False,5,0.5833333333333334,3402590000.0,0.5,0.6666666666666666
71,3,12,1073,HEU,False,5,0.5833333333333334,3402610000.0,0.6666666666666666,0.5
72,3,12,1073,HEU,False,5,0.3333333333333333,3402610000.0,0.3333333333333333,0.3333333333333333
73,3,12,1073,HEU,False,5,0.8333333333333334,3402590000.0,0.8333333333333334,0.8333333333333334
74,3,12,1073,HEU,False,5,0.4166666666666667,3402590000.0,0.3333333333333333,0.5
75,3,12,1073,HEU,False,5,0.75,3402570000.0,0.8333333333333334,0.6666666666666666
76,3,12,1073,HEU,False,5,0.6666666666666666,3402590000.0,0.6666666666666666,0.6666666666666666
77,3,12,1073,HEU,False,5,0.25,3402590000.0,0.1666666666666666,0.3333333333333333
