qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_qkd
7,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
8,2,12,10,OPT,False,5,0.5,368820000.0,0.5
9,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
10,2,12,10,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
11,2,12,10,OPT,False,5,0.75,368820000.0,0.75
12,2,12,10,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
13,2,12,10,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
14,2,12,10,OPT,False,5,0.5,368820000.0,0.5
15,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
16,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
17,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
18,2,12,10,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
19,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
20,2,12,10,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
21,2,12,10,OPT,False,5,0.5,368820000.0,0.5
22,2,12,10,OPT,False,5,0.5,368820000.0,0.5
23,2,12,10,OPT,False,5,0.3333333333333333,368820000.0,0.3333333333333333
24,2,12,10,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
25,2,12,10,OPT,False,5,0.3333333333333333,368820000.0,0.3333333333333333
26,2,12,10,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
27,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
28,2,12,10,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
29,2,12,10,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
30,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
31,2,12,10,OPT,False,5,0.5,368820000.0,0.5
32,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
33,2,12,10,OPT,False,5,0.75,368820000.0,0.75
34,2,12,10,OPT,False,5,0.5,368820000.0,0.5
35,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
36,2,12,10,OPT,False,5,0.5,368820000.0,0.5
37,2,12,10,OPT,False,5,0.4166666666666667,368820000.0,0.4166666666666667
38,2,12,10,OPT,False,5,0.6666666666666666,368820000.0,0.6666666666666666
39,2,12,10,OPT,False,5,0.5,368820000.0,0.5
40,2,12,10,OPT,False,5,0.9166666666666666,368820000.0,0.9166666666666666
41,2,12,10,OPT,False,5,0.5833333333333334,368820000.0,0.5833333333333334
42,2,12,10,OPT,False,5,1.0,368820000.0,1.0
