qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_bqc
50,0,12,3312,HEU,False,5,0.8333333333333334,3552820000.0,0.8333333333333334
51,0,12,3312,HEU,False,5,0.6666666666666666,3552820000.0,0.6666666666666666
52,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
53,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
54,0,12,3312,HEU,False,5,0.75,3552820000.0,0.75
55,0,12,3312,HEU,False,5,0.25,3552820000.0,0.25
56,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
57,0,12,3312,HEU,False,5,0.75,3552820000.0,0.75
58,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
59,0,12,3312,HEU,False,5,0.75,3552820000.0,0.75
60,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
61,0,12,3312,HEU,False,5,0.4166666666666667,3552820000.0,0.4166666666666667
62,0,12,3312,HEU,False,5,0.6666666666666666,3552820000.0,0.6666666666666666
63,0,12,3312,HEU,False,5,0.4166666666666667,3552820000.0,0.4166666666666667
64,0,12,3312,HEU,False,5,0.5,3552820000.0,0.5
65,0,12,3312,HEU,False,5,0.4166666666666667,3552820000.0,0.4166666666666667
66,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
67,0,12,3312,HEU,False,5,0.3333333333333333,3552820000.0,0.3333333333333333
68,0,12,3312,HEU,False,5,0.75,3552820000.0,0.75
69,0,12,3312,HEU,False,5,0.5,3552820000.0,0.5
70,0,12,3312,HEU,False,5,0.75,3552820000.0,0.75
71,0,12,3312,HEU,False,5,0.5,3552820000.0,0.5
72,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
73,0,12,3312,HEU,False,5,0.5,3552820000.0,0.5
74,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
75,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
76,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
77,0,12,3312,HEU,False,5,0.6666666666666666,3552820000.0,0.6666666666666666
78,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
79,0,12,3312,HEU,False,5,0.8333333333333334,3552820000.0,0.8333333333333334
80,0,12,3312,HEU,False,5,0.5833333333333334,3552820000.0,0.5833333333333334
