qoala_run_index,dataset_id,n_sessions,ns_id,schedule_type,risk_aware,length_factor,success_probability,makespan,success_probability_pingpong,success_probability_qkd
67,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.8333333333333334,0.5
68,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
69,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
70,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
71,5,12,10016,OPT,False,5,0.3333333333333333,4611300000.0,0.1666666666666666,0.5
72,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.3333333333333333,0.5
73,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
74,5,12,10016,OPT,False,5,0.5,4611300000.0,0.6666666666666666,0.3333333333333333
75,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.3333333333333333,0.5
76,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,1.0,0.1666666666666666
77,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.3333333333333333,0.8333333333333334
78,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.6666666666666666,0.1666666666666666
79,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.5,0.6666666666666666
80,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
81,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
82,5,12,10016,OPT,False,5,0.5,4611300000.0,0.6666666666666666,0.3333333333333333
83,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
84,5,12,10016,OPT,False,5,0.3333333333333333,4611300000.0,0.3333333333333333,0.3333333333333333
85,5,12,10016,OPT,False,5,0.75,4611300000.0,0.6666666666666666,0.8333333333333334
86,5,12,10016,OPT,False,5,0.5,4611300000.0,0.5,0.5
87,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.8333333333333334,0.3333333333333333
88,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.3333333333333333,1.0
89,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
90,5,12,10016,OPT,False,5,0.9166666666666666,4611300000.0,0.8333333333333334,1.0
91,5,12,10016,OPT,False,5,0.8333333333333334,4611300000.0,1.0,0.6666666666666666
92,5,12,10016,OPT,False,5,0.8333333333333334,4611300000.0,0.6666666666666666,1.0
93,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.5,0.6666666666666666
94,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,1.0,0.3333333333333333
95,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
96,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
97,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.5,0.8333333333333334
98,5,12,10016,OPT,False,5,0.5,4611300000.0,0.8333333333333334,0.1666666666666666
99,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
100,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
101,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
102,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,1.0,0.3333333333333333
103,5,12,10016,OPT,False,5,0.75,4611300000.0,0.5,1.0
104,5,12,10016,OPT,False,5,0.8333333333333334,4611300000.0,0.8333333333333334,0.8333333333333334
105,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
106,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.5,0.3333333333333333
107,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.5,0.8333333333333334
108,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.6666666666666666,0.5
109,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
110,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.1666666666666666,0.6666666666666666
111,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.3333333333333333,0.8333333333333334
112,5,12,10016,OPT,False,5,0.5833333333333334,4611300000.0,0.8333333333333334,0.3333333333333333
113,5,12,10016,OPT,False,5,0.75,4611300000.0,1.0,0.5
114,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
115,5,12,10016,OPT,False,5,0.5,4611300000.0,0.6666666666666666,0.3333333333333333
116,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.8333333333333334,0.5
117,5,12,10016,OPT,False,5,0.5,4611300000.0,0.3333333333333333,0.6666666666666666
118,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.8333333333333334,0.5
119,5,12,10016,OPT,False,5,0.5,4611300000.0,0.5,0.5
120,5,12,10016,OPT,False,5,0.5,4611300000.0,0.3333333333333333,0.6666666666666666
121,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.3333333333333333,0.5
122,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.5,0.3333333333333333
123,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
124,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
125,5,12,10016,OPT,False,5,0.6666666666666666,4611300000.0,0.6666666666666666,0.6666666666666666
126,5,12,10016,OPT,False,5,0.5,4611300000.0,0.3333333333333333,0.6666666666666666
127,5,12,10016,OPT,False,5,0.75,4611300000.0,1.0,0.5
128,5,12,10016,OPT,False,5,0.75,4611300000.0,0.8333333333333334,0.6666666666666666
129,5,12,10016,OPT,False,5,0.4166666666666667,4611300000.0,0.3333333333333333,0.5
