dataset_id,n_sessions,ns_id,length_factor,schedule_type,role,bqc_sessions,pingpong_sessions,qkd_sessions,solve_time,makespan,PUF_both,PUF_CPU,PUF_QPU
0,6,290.0,3.0,HEU,alice,6,0,0,1.827958345413208,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,290.0,3.0,HEU,bob,6,0,0,1.9323499202728271,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,336.0,3.0,HEU,alice,6,0,0,1.820421934127808,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,336.0,3.0,HEU,bob,6,0,0,2.005990028381348,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,353.0,3.0,HEU,alice,6,0,0,1.8609459400177,1012000000,0.3118577075098814,0.0675889328063241,0.2442687747035573
0,6,353.0,3.0,HEU,bob,6,0,0,1.9800677299499512,1022300000,0.3762105057223907,0.1197300205419152,0.2564804851804754
0,6,375.0,3.0,HEU,alice,6,0,0,1.8590805530548096,852000000,0.3704225352112676,0.080281690140845,0.2901408450704225
0,6,375.0,3.0,HEU,bob,6,0,0,1.973541498184204,862300000,0.4460164675866868,0.1419459584831265,0.3040705091035602
0,6,382.0,3.0,HEU,alice,6,0,0,1.8653252124786377,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,382.0,3.0,HEU,bob,6,0,0,2.0010552406311035,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,384.0,3.0,HEU,alice,6,0,0,1.8537724018096924,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,384.0,3.0,HEU,bob,6,0,0,1.9851548671722408,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,404.0,3.0,HEU,alice,6,0,0,1.8478655815124512,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,404.0,3.0,HEU,bob,6,0,0,1.9408037662506104,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,436.0,3.0,HEU,alice,6,0,0,1.8729667663574217,972000000,0.3246913580246913,0.0703703703703703,0.254320987654321
0,6,436.0,3.0,HEU,bob,6,0,0,1.9882173538208008,982300000,0.3915300824595337,0.1246055176626285,0.2669245647969052
0,6,439.0,3.0,HEU,alice,6,0,0,1.8710947036743164,1132000000,0.2787985865724381,0.0604240282685512,0.2183745583038869
0,6,439.0,3.0,HEU,bob,6,0,0,1.952422380447388,1142300000,0.3366891359537775,0.1071522367153987,0.2295368992383787
0,6,442.0,3.0,HEU,alice,6,0,0,1.821882486343384,1152000000,0.2739583333333333,0.059375,0.2145833333333333
0,6,442.0,3.0,HEU,bob,6,0,0,1.95624589920044,1162300000,0.3308956379592188,0.1053084401617482,0.2255871977974705
0,6,445.0,3.0,HEU,alice,6,0,0,1.853656768798828,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,445.0,3.0,HEU,bob,6,0,0,2.0240371227264404,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
0,6,454.0,3.0,HEU,alice,6,0,0,1.8314290046691888,1092000000,0.289010989010989,0.0626373626373626,0.2263736263736263
0,6,454.0,3.0,HEU,bob,6,0,0,1.959930181503296,1102300000,0.3489068311711875,0.1110405515739816,0.2378662795972058
0,6,472.0,3.0,HEU,alice,6,0,0,1.8407506942749023,932000000,0.3386266094420601,0.0733905579399141,0.2652360515021459
0,6,472.0,3.0,HEU,bob,6,0,0,1.989408254623413,942300000,0.4081502706144539,0.1298949379178605,0.2782553326965934
0,6,490.0,3.0,HEU,alice,6,0,0,1.85602617263794,1092000000,0.289010989010989,0.0626373626373626,0.2263736263736263
0,6,490.0,3.0,HEU,bob,6,0,0,2.007046222686768,1102300000,0.3489068311711875,0.1110405515739816,0.2378662795972058
0,6,494.0,3.0,HEU,alice,6,0,0,1.860773086547852,932000000,0.3386266094420601,0.0733905579399141,0.2652360515021459
0,6,494.0,3.0,HEU,bob,6,0,0,1.981095552444458,942300000,0.4081502706144539,0.1298949379178605,0.2782553326965934
0,6,503.0,3.0,HEU,alice,6,0,0,1.8611962795257568,1052000000,0.3,0.0650190114068441,0.2349809885931559
0,6,503.0,3.0,HEU,bob,6,0,0,1.9414877891540527,1062300000,0.3620446201637955,0.1152216887884778,0.2468229313753177
0,6,510.0,3.0,HEU,alice,6,0,0,1.858743667602539,1112000000,0.2838129496402877,0.0615107913669064,0.2223021582733813
0,6,510.0,3.0,HEU,bob,6,0,0,2.0496537685394287,1122300000,0.3426891205560011,0.1090617481956696,0.2336273723603314
